gamma,epsilon,epsilon_min,epsilon_decay,lr,memory_size,Index,Architecture,Average Reward,Average Epsilon
0.99,1.0,0.01,0.995,0.001,10000.0,0,SimpleDQN,-2.7333333333333334,0.0308164426234407
0.9,1.0,0.01,0.99,0.0005,5000.0,1,SimpleDQN,-17.133333333333333,0.0161752083591463
0.95,1.0,0.01,0.98,0.0007,7000.0,2,SimpleDQN,7.4,0.010753244343802
0.98,1.0,0.02,0.995,0.001,8000.0,3,SimpleDQN,-8.2,0.0394468669496307
0.99,1.0,0.005,0.999,0.0003,12000.0,4,SimpleDQN,3.1333333333333333,0.1550246452140393
0.95,1.0,0.02,0.98,0.0005,6000.0,5,SimpleDQN,-8.066666666666666,0.0202893655659569
0.9,1.0,0.015,0.995,0.001,10000.0,6,SimpleDQN,7.933333333333334,0.0351510574249503
0.99,1.0,0.01,0.997,0.0008,11000.0,7,SimpleDQN,4.066666666666666,0.0514138423288023
0.99,1.0,0.01,0.995,0.001,10000.0,0,ComplexDQN,2.333333333333333,0.0308164426234407
0.9,1.0,0.01,0.99,0.0005,5000.0,1,ComplexDQN,-4.866666666666666,0.0161752083591463
0.95,1.0,0.01,0.98,0.0007,7000.0,2,ComplexDQN,11.866666666666667,0.010753244343802
0.98,1.0,0.02,0.995,0.001,8000.0,3,ComplexDQN,-7.0,0.0394468669496307
0.99,1.0,0.005,0.999,0.0003,12000.0,4,ComplexDQN,-13.4,0.1550246452140393
0.95,1.0,0.02,0.98,0.0005,6000.0,5,ComplexDQN,-6.866666666666666,0.0202893655659569
0.9,1.0,0.015,0.995,0.001,10000.0,6,ComplexDQN,-7.933333333333334,0.0351510574249503
0.99,1.0,0.01,0.997,0.0008,11000.0,7,ComplexDQN,1.9333333333333331,0.0514138423288023
